index,buysell,durationtype,advisor,otheradvices,symbolname,success,advisor,niftysentiment
250,1,2,167,True,SBIN,False,167,1
251,1,2,39,True,PETRONET,False,39,1
252,1,2,167,True,BAJFINANCE,True,167,1
253,1,3,209,True,BAJFINANCE,True,209,1
254,1,3,143,True,BAJFINANCE,True,143,1
255,2,2,167,True,RAYMOND,False,167,1
256,1,1,73,True,DELTACORP,True,73,1
257,1,2,167,True,BANKBARODA,False,167,1
258,1,2,109,False,RELCAPITAL,True,109,1
259,2,2,128,False,CENTURYTEX,False,128,2
260,1,2,166,True,KPIT,False,166,1
261,1,2,39,False,CANBK,False,39,2
262,1,2,39,True,VOLTAS,False,39,1
263,1,1,73,True,RADICO,False,73,1
264,1,3,130,True,HAVELLS,True,130,1
265,1,2,39,False,PNB,False,39,1
266,1,3,121,False,DCBBANK,False,121,2
267,1,3,152,False,RALLIS,True,152,1
268,1,2,168,True,ORIENTBANK,False,168,1
269,1,2,151,True,KPIT,False,151,1
270,1,2,169,False,MCDOWELL-N,True,169,1
271,1,1,73,True,RELINFRA,False,73,1
272,1,2,162,True,SOBHA,True,162,1
273,1,2,168,True,ONGC,True,168,1
274,1,1,73,False,JUBILANT,False,73,1
275,1,2,39,False,MARUTI,True,39,1
276,1,2,175,True,ONGC,True,175,1
277,1,2,197,True,RBLBANK,False,197,1
278,1,2,219,False,BAJFINANCE,True,219,1
279,1,1,73,False,ICICIBANK,False,73,1
280,1,2,175,False,CGPOWER,True,175,1
281,2,2,175,False,INFRATEL,False,175,1
283,1,3,133,False,BOSCHLTD,True,133,1
284,1,2,169,True,ICICIBANK,True,169,1
285,1,3,134,True,CANBK,True,134,1
286,2,3,141,True,ADANIPORTS,True,141,1
287,1,2,167,True,CANBK,True,167,1
288,1,3,121,False,BAJAJCORP,False,121,2
289,1,3,121,False,COLPAL,False,121,2
290,1,1,109,False,JUBLINDS,False,109,1
291,1,3,140,True,RELIANCE,True,140,1
292,1,3,137,True,HDFCBANK,True,137,0
293,1,2,175,True,VOLTAS,False,175,1
294,1,1,73,True,MINDTREE,False,73,1
295,1,1,73,True,DHFL,False,73,1
296,1,1,73,False,JETAIRWAYS,True,73,2
297,1,3,133,True,APLLTD,True,133,1
298,2,3,138,False,TECHM,True,138,1
299,1,3,165,True,TCS,True,165,0
300,1,2,151,True,TVSMOTOR,False,151,1
301,1,1,73,True,SUVEN,False,73,1
302,1,2,175,True,VGUARD,False,175,1
303,1,2,167,True,ICICIBANK,True,167,1
304,1,3,155,True,JSWSTEEL,True,155,1
305,1,2,197,True,TATASTEEL,True,197,2
306,1,2,219,True,CADILAHC,False,219,1
307,2,1,175,True,MOTHERSUMI,False,175,1
308,1,2,175,False,JUBLFOOD,False,175,1
309,1,2,167,True,VIPIND,True,167,1
310,1,3,142,True,TORNTPHARM,True,142,1
311,1,2,175,True,YESBANK,True,175,1
312,2,2,175,False,BHARATFORG,False,175,0
313,1,3,133,True,APOLLOHOSP,True,133,2
314,1,2,169,False,POWERGRID,False,169,1
315,1,2,212,False,GPIL,True,212,1
316,1,1,73,True,MINDTREE,False,73,2
317,1,1,73,True,HEXAWARE,True,73,1
318,1,2,168,False,BALRAMCHIN,True,168,1
319,1,3,142,True,SBIN,True,142,1
320,1,2,170,True,SBIN,True,170,1
321,1,2,128,True,KPIT,False,128,1
322,1,1,73,False,MASTEK,True,73,2
323,1,2,167,False,INDIACEM,True,167,1
324,1,2,39,True,DELTACORP,False,39,1
325,1,1,73,True,TATACOMM,False,73,2
326,1,2,39,True,DELTACORP,False,39,1
327,1,2,167,True,ASIANPAINT,True,167,1
328,1,1,73,True,PANACEABIO,False,73,1
329,1,3,195,False,ENDURANCE,True,195,1
330,1,3,133,True,TORNTPHARM,True,133,0
331,1,3,182,True,HAVELLS,True,182,1
332,1,1,73,False,VAKRANGEE,False,73,2
333,1,2,167,True,VEDL,False,167,1
334,1,2,169,True,VEDL,False,169,1
335,2,3,127,False,MPHASIS,True,127,1
336,1,3,144,True,HAVELLS,True,144,1
337,1,2,208,False,GAIL,False,208,1
338,1,1,73,False,JETAIRWAYS,True,73,2
339,1,3,182,True,ABB,True,182,1
340,1,2,219,True,VOLTAS,True,219,1
341,1,3,152,False,MCX,True,152,1
342,1,2,151,True,L&TFH,False,151,1
343,1,2,167,True,L&TFH,False,167,1
344,1,1,73,False,RELCAPITAL,True,73,2
345,1,1,73,True,ESCORTS,False,73,2
346,2,3,161,False,TECHM,True,161,1
347,1,1,73,False,SUNPHARMA,False,73,2
348,1,1,73,True,MASTEK,False,73,1
349,2,2,175,False,JETAIRWAYS,False,175,1
350,1,2,162,True,SUNPHARMA,False,162,1
351,1,2,168,True,SUNPHARMA,False,168,1
352,1,3,157,True,RBLBANK,True,157,1
353,1,2,162,False,BPCL,False,162,1
354,1,2,197,True,ARVIND,False,197,1
355,1,3,121,True,ALLCARGO,False,121,1
356,1,2,167,True,KOTAKBANK,False,167,1
357,1,2,167,True,BATAINDIA,True,167,1
358,1,3,218,True,JSWSTEEL,True,218,1
359,1,2,167,False,DHFL,False,167,1
360,1,2,73,False,ACC,True,73,1
361,1,3,148,False,RADICO,True,148,1
362,1,3,138,True,AUROPHARMA,True,138,1
363,1,2,219,False,INDIAGLYCO,True,219,2
364,1,3,157,False,ENDURANCE,True,157,1
367,1,2,208,True,CADILAHC,False,208,1
368,1,1,73,True,RELINFRA,True,73,2
369,1,1,73,True,RIIL,False,73,1
370,1,3,121,True,PERSISTENT,True,121,1
371,1,1,73,True,DHFL,False,73,1
372,1,1,73,True,HEXAWARE,True,73,1
373,1,3,196,True,ITC,True,196,1
374,1,2,175,False,DABUR,False,175,2
375,1,3,121,True,MAJESCO,False,121,2
376,2,3,138,False,TATAMOTORS,True,138,1
377,1,2,162,True,TATAMOTORS,False,162,1
378,1,2,39,False,LICHSGFIN,True,39,1
379,1,3,159,True,HAVELLS,True,159,0
380,2,3,145,False,COALINDIA,True,145,0
381,1,3,137,True,BANKBARODA,True,137,1
382,1,2,168,True,CESC,False,168,2
383,1,3,121,True,AXISBANK,False,121,2
384,1,3,121,False,BEL,False,121,2
385,1,3,159,True,SUNPHARMA,True,159,1
386,1,3,142,True,HINDZINC,True,142,1
387,2,2,167,False,JINDALSTEL,False,167,1
388,1,3,132,True,VOLTAS,True,132,1
389,1,1,73,True,KEC,True,73,1
391,1,3,121,False,KEI,False,121,2
392,1,3,164,True,TORNTPHARM,True,164,0
393,2,3,174,True,TITAN,True,174,1
394,1,2,167,False,AJANTPHARM,False,167,1
395,1,1,73,True,BAJAJELEC,True,73,1
396,1,3,152,True,KOTAKBANK,True,152,1
397,1,2,39,True,LT,True,39,1
398,1,2,167,True,IGL,False,167,1
399,1,3,121,True,CIPLA,True,121,1
400,1,2,39,True,M&M,False,39,1
401,2,3,174,True,BPCL,True,174,2
402,1,3,152,True,BERGEPAINT,True,152,1
404,1,2,151,False,JINDALSTEL,False,151,1
405,1,2,168,True,GAIL,True,168,1
406,2,2,167,False,JETAIRWAYS,True,167,2
407,1,2,168,True,COLPAL,False,168,1
408,2,2,175,True,ICICIPRULI,False,175,2
409,1,1,73,False,VOLTAS,False,73,2
411,1,3,134,True,AUROPHARMA,True,134,1
412,1,2,166,True,HDFC,False,166,1
413,2,2,167,False,TATAMTRDVR,False,167,1
414,2,2,168,True,IBULHSGFIN,True,168,2
415,1,2,170,True,ULTRACEMCO,True,170,2
416,2,2,169,False,IOC,True,169,2
417,1,3,156,True,AXISBANK,True,156,1
418,1,3,138,False,HAVELLS,True,138,1
419,1,1,73,True,COFFEEDAY,True,73,1
420,1,1,39,True,ASIANPAINT,True,39,1
421,1,3,137,True,JUBLFOOD,True,137,2
422,2,2,167,False,DISHTV,False,167,1
423,1,2,219,False,SRF,True,219,1
424,1,2,175,True,STAR,True,175,2
425,1,1,73,False,POLARIS,True,73,2
426,1,1,73,False,PGEL,True,73,1
427,1,3,138,True,DRREDDY,True,138,1
428,1,3,148,True,RBLBANK,True,148,1
429,1,2,175,True,NIITTECH,True,175,1
430,2,2,175,True,CANFINHOME,False,175,2
431,1,2,169,True,CUMMINSIND,False,169,1
432,1,2,168,True,AXISBANK,True,168,1
433,1,1,73,False,MAITHANALL,True,73,2
434,1,1,73,True,SUNPHARMA,True,73,2
435,1,2,191,False,DMART,False,191,1
436,1,3,164,True,BAJFINANCE,True,164,2
438,1,2,170,True,LT,False,170,2
439,1,3,161,True,TCS,True,161,1
440,1,2,131,True,CESC,False,131,1
441,1,2,39,True,SUNPHARMA,False,39,1
442,1,1,73,False,TATAGLOBAL,False,73,1
443,1,2,175,True,CIPLA,False,175,1
444,1,2,39,True,EXIDEIND,False,39,2
445,1,2,169,True,JINDALSTEL,True,169,1
446,1,3,165,True,INFY,True,165,1
447,1,1,73,True,PANACEABIO,False,73,1
448,1,2,128,False,RECLTD,False,128,2
449,1,2,73,False,BFINVEST,False,73,2
450,1,2,175,True,RBLBANK,False,175,1
451,2,2,175,False,ZEEL,True,175,1
452,1,3,127,True,CROMPTON,True,127,0
453,1,1,73,False,RADICO,False,73,1
454,1,2,109,True,RELINFRA,False,109,2
455,1,2,151,False,HDFC,True,151,1
456,1,1,73,True,ESCORTS,False,73,1
457,2,2,128,True,BHARTIARTL,True,128,1
458,1,2,219,True,INDIGO,True,219,1
459,1,3,145,False,LICHSGFIN,True,145,0
460,1,2,131,False,HINDALCO,False,131,2
461,1,2,131,True,UFLEX,True,131,1
462,1,2,73,False,BFINVEST,False,73,1
463,1,2,166,True,TATASTEEL,False,166,1
464,1,2,167,True,DRREDDY,True,167,1
466,2,3,143,False,LICHSGFIN,True,143,1
467,1,2,191,True,SBIN,False,191,1
468,1,2,197,True,AMARAJABAT,False,197,2
469,2,2,169,False,MARUTI,False,169,1
470,2,2,175,True,BEML,False,175,2
471,1,2,162,False,BEML,True,162,2
472,1,2,167,True,PNB,False,167,1
473,1,2,175,True,SUNPHARMA,False,175,1
474,1,3,121,False,IBULHSGFIN,False,121,1
475,1,2,39,False,HINDCOPPER,False,39,1
476,1,3,178,False,JKLAKSHMI,True,178,1
477,2,3,141,True,PNB,True,141,1
478,1,2,219,True,AMARAJABAT,True,219,1
479,1,3,138,True,TITAN,False,138,1
480,2,2,166,False,INFRATEL,True,166,2
481,1,2,128,False,ARVIND,False,128,2
482,1,2,168,True,TCS,True,168,2
483,2,2,175,False,BHARATFORG,False,175,1
484,1,3,152,False,ABFRL,True,152,1
485,1,2,170,True,IPCALAB,True,170,1
486,2,2,168,True,ZEEL,False,168,1
487,1,3,181,True,PETRONET,True,181,2
488,1,1,73,False,HITECHGEAR,False,73,1
489,2,3,143,True,ASIANPAINT,True,143,1
490,1,2,175,True,NIITTECH,False,175,1
491,1,2,199,False,LALPATHLAB,True,199,1
492,1,3,152,True,VGUARD,True,152,1
493,2,1,175,True,RELCAPITAL,True,175,2
494,1,1,73,True,BOMDYEING,True,73,1
495,1,1,73,False,ADANIENT,True,73,1
496,1,3,121,False,ZEEL,False,121,2
497,1,2,219,True,LUPIN,False,219,1
498,1,3,142,True,SUNPHARMA,True,142,1
499,1,2,167,False,TATASTEEL,False,167,1
500,1,2,199,False,PAGEIND,True,199,1
501,1,2,208,True,SOBHA,False,208,1
502,2,2,162,False,JINDALSTEL,False,162,1
503,2,2,168,True,HDFC,False,168,1
504,1,2,167,False,HINDUNILVR,False,167,1
505,1,1,73,False,INFIBEAM,False,73,1
506,1,1,73,True,LUMAXIND,True,73,1
507,1,2,170,True,HINDUNILVR,False,170,0
508,1,2,170,True,IPCALAB,True,170,1
510,1,3,142,True,HAVELLS,True,142,1
511,1,3,121,False,VINATIORGA,True,121,1
512,1,2,39,True,DIVISLAB,False,39,1
513,1,1,73,True,DELTACORP,False,73,1
514,2,2,175,True,RAYMOND,True,175,1
515,1,3,133,False,UBL,True,133,1
516,1,2,244,True,MARICO,True,244,1
517,1,2,166,True,BAJAJFINSV,False,166,2
518,1,2,168,True,BANKBARODA,True,168,1
519,1,3,73,False,JINDALSTEL,False,73,1
521,1,1,73,False,DLF,True,73,1
522,1,1,73,True,RADICO,True,73,1
524,1,2,167,True,BANKBARODA,True,167,1
525,1,2,39,False,BANKBARODA,False,39,1
527,1,3,140,True,EXIDEIND,True,140,1
528,1,2,73,False,JUBLINDS,True,73,2
529,1,3,154,False,AXISBANK,True,154,1
530,1,1,73,True,KOLTEPATIL,False,73,1
531,1,2,39,False,SAIL,True,39,1
532,1,2,175,False,HEXAWARE,False,175,1
533,1,2,39,False,TCS,False,39,1
534,1,1,73,False,YESBANK,False,73,1
535,1,3,196,True,VGUARD,True,196,2
536,1,3,176,False,COX&KINGS,True,176,1
537,1,2,168,False,BAJAJ-AUTO,True,168,1
538,1,3,157,True,AXISBANK,True,157,1
539,2,2,128,False,VOLTAS,False,128,1
540,1,2,39,False,ADANIPOWER,False,39,1
541,1,1,39,False,VOLTAS,True,39,1
542,1,2,39,False,DELTACORP,False,39,1
543,1,1,73,True,RPGLIFE,False,73,1
545,1,2,170,True,BAJAJFINSV,True,170,2
546,1,2,151,False,LUPIN,False,151,1
547,1,1,73,True,RAIN,False,73,1
548,1,2,170,False,BAJAJFINSV,False,170,2
549,2,2,168,False,SYNDIBANK,False,168,1
550,1,1,73,False,PCJEWELLER,False,73,1
551,1,2,73,True,BEPL,False,73,2
552,1,2,170,True,LT,True,170,2
553,1,2,39,True,TATAMOTORS,False,39,2
554,1,2,168,True,YESBANK,False,168,1
555,2,2,168,True,BPCL,True,168,1
556,1,2,39,True,TVSMOTOR,False,39,1
557,1,2,167,False,ICICIBANK,False,167,2
558,1,2,39,False,LUPIN,True,39,2
559,1,3,157,False,IPCALAB,True,157,1
560,1,3,121,False,CYIENT,True,121,2
561,1,2,39,False,DABUR,True,39,1
562,1,3,121,False,DHFL,False,121,1
563,1,2,39,True,TVSMOTOR,True,39,1
564,1,3,121,False,INDIANB,False,121,1
565,1,3,143,True,ASIANPAINT,True,143,1
566,1,2,197,False,ADANIPOWER,False,197,2
567,1,3,121,True,ALLCARGO,False,121,1
568,1,3,39,True,CIPLA,False,39,1
569,1,2,39,False,ADANIPORTS,True,39,1
570,1,2,170,True,LT,True,170,1
571,1,2,39,True,TATAMOTORS,True,39,1
572,1,2,168,True,CIPLA,False,168,2
573,1,2,175,True,HINDZINC,True,175,1
574,1,3,143,True,RELIANCE,True,143,1
575,1,2,219,True,M&MFIN,False,219,2
576,1,2,167,False,GRAPHITE,True,167,1
577,1,2,39,True,YESBANK,False,39,1
578,1,2,39,False,TATAMOTORS,False,39,1
579,1,2,73,False,JAYAGROGN,False,73,1
580,1,2,166,True,AMARAJABAT,False,166,2
581,1,2,168,True,DRREDDY,True,168,1
582,1,3,161,True,TECHM,True,161,1
583,1,2,166,False,BALKRISIND,False,166,1
584,1,3,132,False,HEXAWARE,True,132,2
585,1,3,121,False,PRAJIND,False,121,1
586,1,3,160,True,DRREDDY,True,160,1
587,1,2,199,False,ENGINERSIN,True,199,2
588,1,2,131,False,M&M,True,131,1
590,1,2,175,True,MARICO,True,175,1
591,1,2,39,False,EXIDEIND,False,39,1
592,1,2,167,True,HINDUNILVR,False,167,1
593,1,3,189,False,LALPATHLAB,True,189,1
594,1,2,168,False,BALKRISIND,False,168,1
595,1,2,39,False,TATASTEEL,False,39,1
596,1,2,170,False,BAJAJFINSV,False,170,1
597,1,2,151,False,TECHM,False,151,1
599,2,2,167,False,DRREDDY,False,167,1
600,1,2,167,True,AXISBANK,False,167,2
601,1,3,144,True,BALKRISIND,True,144,2
602,1,2,168,True,ITC,True,168,1
603,1,3,137,False,LALPATHLAB,True,137,1
604,1,3,121,True,HINDUNILVR,True,121,1
605,1,3,161,True,HEXAWARE,True,161,1
606,1,2,219,False,ABB,False,219,1
607,1,2,167,True,COLPAL,False,167,2
608,1,3,156,True,JSWENERGY,True,156,1
609,1,2,39,True,TVSMOTOR,True,39,2
610,1,2,167,False,EXIDEIND,False,167,1
611,1,2,169,True,INDIACEM,False,169,2
612,2,3,156,False,INFRATEL,True,156,1
613,1,3,121,False,SBIN,False,121,1
614,1,2,131,False,TV18BRDCST,False,131,2
615,1,2,162,True,ULTRACEMCO,True,162,1
616,1,3,147,True,JUBLFOOD,True,147,1
617,1,3,145,True,HCLTECH,True,145,2
618,1,2,128,False,DABUR,False,128,1
619,1,2,166,True,BAJFINANCE,True,166,1
620,1,2,39,True,KOTAKBANK,False,39,2
621,1,2,167,True,AUROPHARMA,True,167,1
622,2,3,154,True,HEXAWARE,True,154,2
623,1,2,167,True,NIITTECH,True,167,1
624,1,2,151,False,JUBLFOOD,True,151,1
625,1,2,168,True,KPIT,False,168,1
